City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
357,conceicao da barra,92,BR,1542006290,100,-18.59,-39.73,73.45,7.4
358,seymchan,8,RU,1542006290,100,62.93,152.39,-26.5,2.26
359,shenjiamen,92,CN,1542006191,100,29.96,122.3,64.14,18.37
360,grand gaube,20,MU,1542006000,65,-20.01,57.66,82.4,13.87
361,goderich,76,CA,1542006290,86,43.74,-81.71,35.83,15.17
362,malaga,40,AU,1542004200,56,-31.86,115.89,73.4,14.99
363,inhuma,20,BR,1542006097,41,-6.67,-41.71,82.59,9.42
364,aswan,0,EG,1542002400,42,24.09,32.9,66.2,5.82
365,la macarena,0,CO,1542006291,98,2.18,-73.79,72.37,2.26
366,myitkyina,32,MM,1542006292,66,25.38,97.4,77.19,2.37
367,banda aceh,0,ID,1542006292,83,5.56,95.32,85.33,1.36
368,vanderhoof,64,CA,1542006292,93,54.02,-124.02,25.39,1.81
369,rosita,80,NI,1542006292,92,13.92,-84.4,73.77,3.83
370,cockburn town,88,TC,1542006293,100,21.46,-71.14,80.61,15.9
371,izyum,64,UA,1542006294,64,49.21,37.25,26.65,15.17
372,paramonga,44,PE,1542006294,100,-10.68,-77.82,63.06,11.81
373,itarema,88,BR,1542006294,91,-2.92,-39.92,76.33,11.81
374,talas,40,TR,1542003600,80,38.69,35.55,41.0,3.2
375,tynset,75,NO,1542003600,93,62.28,10.78,39.2,6.93
376,jau,90,FR,1542004200,93,45.42,-0.97,51.8,6.93
377,portland,1,US,1542005580,35,45.52,-122.67,50.0,13.87
378,lagoa,20,PT,1542004200,93,37.14,-8.45,57.2,8.05
379,saint-leu,0,RE,1542004200,65,-21.15,55.28,82.4,8.05
380,walvis bay,0,NA,1542002400,93,-22.95,14.51,57.2,2.24
381,kalmunai,8,LK,1542006297,76,7.42,81.82,84.84,10.8
